category,position,budget,limit_time,response_time,top1_score,top1_distance,top1_walk_time,top1_price,top5_score,top5_distance,top5_price,budget_success,distance_score,price_score,time_score,similarity
양식,후문,5000,8,0.007396833010716364,65.00000000000001,202,4,17333.333333333332,33.33333333333334,224.33333333333334,17333.333333333332,False,100.0,0.0,0.0,100.00000000000004
일식,후문,10000,10,0.006287582975346595,57.660102045859794,167,4,9250.0,44.557268814626056,251.0,9250.0,True,100.0,0.0,100.0,21.886005845313694
분식,정문,7000,13,0.006203875003848225,65.0,120,3,4625.0,53.0,280.6,4625.0,True,100.0,0.0,0.0,100.0
카페,정문,15000,6,0.006180291995406151,65.0,58,1,5000.0,53.0,142.0,5000.0,True,100.0,0.0,0.0,100.0
카페,후문,15000,19,0.005911750020459294,62.0,96,2,5000.0,55.718929980726514,153.0,5000.0,True,90.0,0.0,0.0,100.0
양식,후문,5000,5,0.006979500001762062,65.00000000000001,202,4,17333.333333333332,33.33333333333334,224.33333333333334,17333.333333333332,False,100.0,0.0,0.0,100.00000000000004
양식,후문,20000,15,0.006348082999465987,65.0,202,4,17333.333333333332,38.0,313.8,17333.333333333332,True,100.0,0.0,0.0,100.0
일식,정문,20000,10,0.0059886249946430326,57.14238957839562,104,2,9250.0,43.620303450474296,167.8,9250.0,True,100.0,0.0,100.0,20.406827366844638
중식,후문,20000,9,0.005529916990781203,59.0,220,5,10250.0,41.06017620679919,263.8,10250.0,True,80.0,0.0,0.0,100.0
카페,정문,5000,13,0.006972249975660816,65.0,58,1,5000.0,59.0,142.0,5000.0,True,100.00000000000003,0.0,0.0,100.0
분식,후문,5000,8,0.006125832995167002,65.0,29,1,4625.0,42.57142857142857,207.4,4625.0,True,100.0,0.0,0.0,100.0
카페,정문,20000,20,0.005719416978536174,65.0,58,1,5000.0,59.0,142.0,5000.0,True,100.0,0.0,0.0,100.0
한식,정문,5000,18,0.006344583001919091,76.20723197715606,94,2,9000.0,69.39323004333781,159.8,9000.0,False,90.0,100.0,100.0,40.59209136330302
중식,후문,10000,12,0.0058865409810096025,58.999999999999986,220,5,10250.0,41.060176206799184,263.8,10250.0,False,79.99999999999997,0.0,0.0,100.0
양식,후문,10000,19,0.005747500021243468,64.99999999999999,202,4,17333.333333333332,38.0,313.8,17333.333333333332,False,99.99999999999997,0.0,0.0,100.0
양식,후문,20000,7,0.005892583023523912,65.0,202,4,17333.333333333332,33.333333333333336,224.33333333333334,17333.333333333332,True,99.99999999999997,0.0,0.0,100.00000000000004
분식,후문,15000,10,0.005582124984357506,65.0,29,1,4625.0,42.57142857142857,207.4,4625.0,True,100.0,0.0,0.0,100.0
분식,후문,7000,11,0.005582957994192839,65.0,29,1,4625.0,42.57142857142857,207.4,4625.0,True,100.0,0.0,0.0,100.0
